"food_id"	"fdgrp_id"	"desc"	"food_group"	"nutrient_id"	"nutrient_value"	"units"	"nutrient"	"seq"	"amount"	"measure_desc"	"grams"	"nutrients_per_gram"	"nutrients_per_serving"
"78"	"6014"	"600"	"CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND"	"Soups, Sauces, and Gravies"	"203"	1.61	"g"	"Protein"	1	1	"serving 1/2 cup"	124	0.0161	1.9964
"79"	"6014"	"600"	"CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND"	"Soups, Sauces, and Gravies"	"204"	3.63	"g"	"Total lipid (fat)"	1	1	"serving 1/2 cup"	124	0.0363	4.5012
"80"	"6014"	"600"	"CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND"	"Soups, Sauces, and Gravies"	"205"	9.68	"g"	"Carbohydrate, by difference"	1	1	"serving 1/2 cup"	124	0.0968	12.0032
"81"	"6014"	"600"	"CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND"	"Soups, Sauces, and Gravies"	"208"	81	"kcal"	"Energy"	1	1	"serving 1/2 cup"	124	0.81	100.44
"82"	"6029"	"600"	"HEALTHY REQUEST,CHICK W/ RICE,COND"	"Soups, Sauces, and Gravies"	"203"	1.59	"g"	"Protein"	1	0.5	"cup"	126	0.0159	2.0034
"83"	"6029"	"600"	"HEALTHY REQUEST,CHICK W/ RICE,COND"	"Soups, Sauces, and Gravies"	"204"	1.19	"g"	"Total lipid (fat)"	1	0.5	"cup"	126	0.0119	1.4994
"84"	"6029"	"600"	"HEALTHY REQUEST,CHICK W/ RICE,COND"	"Soups, Sauces, and Gravies"	"205"	7.19	"g"	"Carbohydrate, by difference"	1	0.5	"cup"	126	0.0719	9.0594
"85"	"6032"	"600"	"SOUP,BF BROTH BOUILLON & CONSOMME,CND,COND"	"Soups, Sauces, and Gravies"	"203"	2.52	"g"	"Protein"	1	0.5	"cup"	124	0.0252	3.1248
"86"	"6041"	"600"	"CAMPBELL'S RED&WHITE,CHICK & DUMPLINGS SOUP,COND"	"Soups, Sauces, and Gravies"	"203"	2.38	"g"	"Protein"	1	1	"serving 1/2 cup"	126	0.0238	2.9988
"87"	"6041"	"600"	"CAMPBELL'S RED&WHITE,CHICK & DUMPLINGS SOUP,COND"	"Soups, Sauces, and Gravies"	"204"	1.98	"g"	"Total lipid (fat)"	1	1	"serving 1/2 cup"	126	0.0198	2.4948
"88"	"6041"	"600"	"CAMPBELL'S RED&WHITE,CHICK & DUMPLINGS SOUP,COND"	"Soups, Sauces, and Gravies"	"205"	7.94	"g"	"Carbohydrate, by difference"	1	1	"serving 1/2 cup"	126	0.0794	10.0044
"89"	"6041"	"600"	"CAMPBELL'S RED&WHITE,CHICK & DUMPLINGS SOUP,COND"	"Soups, Sauces, and Gravies"	"208"	56	"kcal"	"Energy"	1	1	"serving 1/2 cup"	126	0.56	70.56
"90"	"6047"	"600"	"CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND"	"Soups, Sauces, and Gravies"	"203"	2.38	"g"	"Protein"	1	1	"serving 1/2 cup"	126	0.0238	2.9988
"91"	"6047"	"600"	"CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND"	"Soups, Sauces, and Gravies"	"204"	1.59	"g"	"Total lipid (fat)"	1	1	"serving 1/2 cup"	126	0.0159	2.0034
"92"	"6047"	"600"	"CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND"	"Soups, Sauces, and Gravies"	"205"	8.73	"g"	"Carbohydrate, by difference"	1	1	"serving 1/2 cup"	126	0.0873	10.9998
"93"	"6047"	"600"	"CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND"	"Soups, Sauces, and Gravies"	"208"	56	"kcal"	"Energy"	1	1	"serving 1/2 cup"	126	0.56	70.56
"94"	"6054"	"600"	"CAMPBELL'S RED & WHITE,CHICK ALPHABET SOUP,COND"	"Soups, Sauces, and Gravies"	"203"	2.38	"g"	"Protein"	1	1	"serving 1/2 cup"	126	0.0238	2.9988
"95"	"6054"	"600"	"CAMPBELL'S RED & WHITE,CHICK ALPHABET SOUP,COND"	"Soups, Sauces, and Gravies"	"204"	1.19	"g"	"Total lipid (fat)"	1	1	"serving 1/2 cup"	126	0.0119	1.4994
"96"	"6054"	"600"	"CAMPBELL'S RED & WHITE,CHICK ALPHABET SOUP,COND"	"Soups, Sauces, and Gravies"	"205"	9.52	"g"	"Carbohydrate, by difference"	1	1	"serving 1/2 cup"	126	0.0952	11.9952
"97"	"6054"	"600"	"CAMPBELL'S RED & WHITE,CHICK ALPHABET SOUP,COND"	"Soups, Sauces, and Gravies"	"208"	56	"kcal"	"Energy"	1	1	"serving 1/2 cup"	126	0.56	70.56
"98"	"6057"	"600"	"CAMPBELL'S RED&WHITE,CHICK BROTH,COND"	"Soups, Sauces, and Gravies"	"203"	0.81	"g"	"Protein"	1	1	"serving 1/2 cup"	124	0.0081	1.0044
"99"	"6057"	"600"	"CAMPBELL'S RED&WHITE,CHICK BROTH,COND"	"Soups, Sauces, and Gravies"	"204"	0.81	"g"	"Total lipid (fat)"	1	1	"serving 1/2 cup"	124	0.0081	1.0044
"100"	"6057"	"600"	"CAMPBELL'S RED&WHITE,CHICK BROTH,COND"	"Soups, Sauces, and Gravies"	"205"	0.81	"g"	"Carbohydrate, by difference"	1	1	"serving 1/2 cup"	124	0.0081	1.0044
